3a,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b
frequency (kHz)\ phi (degrees),-40.728607609785406,-26.335255736102376,-9.065164239672114,0.0,5.8379944686018925,10.308680400185006,12.431454388292359,14.245427118142143,15.856954461724415,17.322650043893763,18.676897845446238,23.869023540291167,34.59593032314934,40.439146393115074,frequency (kHz)\ phi (degrees),-40.728607609785406,-26.335255736102376,-9.065164239672114,0.0,5.8379944686018925,10.308680400185006,12.431454388292359,14.245427118142143,15.856954461724415,17.322650043893763,18.676897845446238,23.869023540291167,34.59593032314934,40.439146393115074
19.968,14.789372295499374,12.291546290094795,6.557780131262962,2.37696938909126,1.5636072134657584,2.8564359849060605,3.3137707536137517,4.624386600384804,5.886831825577196,6.507254226139888,6.655779335022633,8.652430087007758,11.731472505831864,12.971887877431257,19.968,14.829931274055946,12.037337611205544,6.129056192015108,1.7734722155913971,1.3804154182634434,3.1713123302536954,4.240453432868055,5.163180537505203,5.922040114050404,6.6044086787319145,7.1874726324485705,9.251366239952995,12.272877979437888,13.520031024510713
20.096,14.75859722685878,12.302342339490373,6.497669887781694,2.4345627459726007,1.6641049390169325,2.570314889537229,3.321257008512656,4.333133954891523,5.688906292956653,6.254139528376761,6.475459090317107,8.499622855282668,11.664505270677786,12.807942200640644,20.096,14.583072708759095,11.865590137328105,6.086892658594714,1.7512131436710612,1.286163358026342,2.9674453598796866,4.020021131643754,4.911700046432056,5.659079712681503,6.349878466357019,6.934157416802801,9.01550050533904,12.088456017301025,13.295727652103595
20.224,14.775105330032792,12.293711042247493,6.613760473372112,2.512515364267773,1.5594301005173823,2.432585875779631,3.2667735747680737,4.133425077342533,5.539121870296063,5.931540223805718,6.267262203525563,8.3168609071954,11.554890237179402,12.7152260231765,20.224,14.325046591463606,11.629010211468142,5.988668344252492,1.6802135976401091,1.1322113093103665,2.7108377253569427,3.7148671524508576,4.604697608186985,5.328106268118247,6.0282958514248985,6.621273133532809,8.669538416175364,11.775093285830884,12.995231129307713
20.352,14.935236472341433,12.28717852625968,6.571703090444287,2.5365477811682178,1.4418318590248866,2.2591597790868367,3.1861788835573264,4.043026619359716,5.422697847151087,5.726128420735693,6.110831067325723,8.136234713665921,11.452494344766688,12.547894256393471,20.352,14.357731399912307,11.576019991517448,5.953360998279088,1.7015916153386037,1.071171774468205,2.5633784818928858,3.530121347759228,4.432662254621062,5.142331110384242,5.840998224893999,6.412606337174847,8.425498983219025,11.53352387298157,12.786345120153966
20.48,14.538441264696006,12.177000753758572,6.623163638634554,2.6720270665259047,1.5000728833111547,2.1366792012535862,3.0274108531748145,3.8701448787462343,5.141124971692623,5.434904669295932,5.878830482837868,7.94737900132557,11.370258527919557,12.452898809087324,20.48,14.134675903124606,11.403129108432262,5.898423701428928,1.7676929171214897,0.9745588392508221,2.351685434216793,3.2896301431901707,4.162925972102761,4.8753398448413074,5.549087224912079,6.161377043592701,8.15357396523131,11.276794493781125,12.519969030304125
20.608,14.516220505359158,11.994762935864616,6.575518361364424,2.501023842993189,1.40650793705802,1.993923943519706,2.8537846070526456,3.7106902791019714,4.8882777011147525,5.249386559426715,5.62712743737441,7.712126434824112,11.220017257987106,12.36120281775434,20.608,13.989477011775895,11.256205498907228,5.813422093865598,1.7843684092023506,0.921931311173322,2.225601016238437,3.132385059320982,4.000949259146108,4.703938017038545,5.368239863621475,5.974930020761839,7.9715373290648905,11.11987121524038,12.3218026960906
20.736,14.73265729033747,12.144509162356124,6.619416060009447,2.337478596803924,1.5120700882337077,2.5111208697826504,3.6230189410298856,4.5741661066145065,5.1357178303375015,5.412121684687384,6.059599099841508,8.196488274116739,11.423283202763212,12.586508663717089,20.736,14.096056763942899,11.393074437856344,5.830295979191595,1.7755133799005458,0.9971229329483312,2.3340943446745417,3.2629164059127365,4.121383267283991,4.845389355815996,5.538484662357612,6.148798947697767,8.104979534187269,11.2378678009186,12.488129359086802
20.864,14.773646065035601,12.042341635718136,6.544647680938201,2.462257311686209,1.537266206815075,2.471857285007241,3.57992257245762,4.610176419275592,4.9028310559133415,5.394078086049305,6.114559718034932,8.233786244689341,11.399250873940296,12.494488512486802,20.864,14.059421723630686,11.36152411122976,5.8364817919835925,1.7488375449937044,0.9687999252106624,2.3109670620395795,3.2410698182474422,4.120333483722522,4.805416672090316,5.521913309792968,6.117091140595639,8.088906047772532,11.216636504826148,12.465903169520507
20.991999999999997,14.244709706240535,11.715012158849154,6.388244959600208,2.6308569572276426,1.2423999939541432,1.8422134246428,2.5439264137801336,3.3141614722111443,4.17304135431198,4.832106417708469,5.3891664349885495,7.297688308425366,11.138888117548474,11.8977936380444,20.991999999999997,13.768071825582854,11.16803393783285,5.742860003931622,1.8659369955248917,0.8454960840965876,1.9170418321060336,2.7820770277530382,3.6211035594126946,4.287396398837076,4.934506648225644,5.525768688953433,7.508254134712655,10.740032045128602,11.931049282639863
21.12,14.159098095700962,11.692200411391278,6.505480229539666,2.703193099032215,1.2147621345287158,1.6437726112008897,2.5633247141608564,3.131980806328687,3.988199937841323,4.619779977927485,5.266905597245545,7.1170906816087625,11.09828977783443,11.663990740278852,21.12,13.704585263677211,11.122502317792993,5.804097309065813,1.9977535906787367,0.8399905968855028,1.7860243607150248,2.599640965464354,3.4296667525199402,4.10684600049563,4.7223867878209385,5.326034902351297,7.326906158855674,10.580179722603427,11.791863281617514
