Frequency (kHz),C
0.019968,0.37849369016624956
0.020096,0.3618852073790301
0.020224,0.353483612108399
0.020352000000000002,0.3421040044484085
0.02048,0.3256027105186402
0.020608,0.300120104467066
0.020736,0.31422373423048133
0.020864,0.29695754298041194
0.020992,0.2728307645596396
0.02112,0.2533005628750988
0.021248000000000003,0.23469279487915917
0.021376000000000003,0.22480504012021527
0.021504000000000002,0.2277340021705539
0.021632000000000002,0.205126885948493
0.02176,0.1941961194682101
0.021888,0.18168010544277183
0.022016,0.1552070823375157
0.022144000000000004,0.1444482242668641
0.022272000000000004,0.1499309519616478
0.022400000000000003,0.14005524262566754
0.022528,0.13272794829571333
0.022656,0.14294642988600292
0.022784,0.13543510919405657
0.022912,0.11977946044348974
0.023039999999999998,0.1089846467687219
0.023168,0.1082905332518929
0.023296,0.104547706984975
0.023424,0.09978766514426637
0.023552,0.0854124062285783
0.02368,0.07986682857286029
0.023808,0.08080251551382642
0.023936,0.08409621438084684
0.024064000000000002,0.08455118417821807
0.024192,0.07967894843881183
0.02432,0.06404266399989678
0.024448,0.0574572324293017
0.024576,0.05875348864117295
0.024704,0.06911552085610606
0.024832,0.07022337453092745
0.024960000000000003,0.07462036975115602
0.025088000000000003,0.11878673541730889
0.025216000000000002,0.0703774538588982
0.025344000000000002,0.03903538829105794
0.025472,0.04001999298511443
0.0256,0.03207164424347823
0.025728,0.019149154032251436
0.025856,0.015101357541928704
0.025984000000000004,0.014307404489003736
0.026112000000000003,0.01795588148076836
0.026240000000000003,0.030248336647745382
0.026368000000000003,0.03336761339890433
0.026496000000000002,0.037093395436841106
0.026624000000000002,0.08134018250734894
0.026751999999999998,0.20866884163580582
0.02688,0.37053138718420664
0.027008,0.32248950482748145
0.027136,0.14314348035622942
0.027264,0.06252462713190947
0.027392,0.050453455938466035
0.02752,0.06643308957103672
0.027648,0.4684298074689943
0.027776000000000002,0.931369792330224
0.027904,0.9243946315152033
0.028032,0.3673782420082504
0.02816,0.045542155209337486
0.028288,0.01668193158607353
0.028416,0.024147221456003915
0.028544,0.015805232790905097
0.028672,0.008138160509201575
0.028800000000000003,0.00353062806509507
0.028928000000000002,0.0063396423504141685
0.029056000000000002,0.005365990590941698
0.029184,-0.009660722131824116
0.029312,-0.0016010673486666436
0.02944,0.005362273529278709
0.029568,0.0032206801259641277
0.029696000000000004,-0.007502931344606403
0.029824000000000003,-0.009718295652740573
0.029952000000000003,-0.009725214085601105
0.030080000000000003,-0.002328132644667686
0.030208000000000002,-0.0039130705940213905
0.030336000000000002,-0.011044762243199648
0.030464,-0.006495493605636768
0.030592000000000005,0.004929754176762666
0.03072,0.004974596230263735
0.030848,0.012179905926164813
0.030976,0.01953251046497805
0.031104,0.011152243417447378
0.031232,0.0015011558124301964
0.03136,-0.020658601500222577
0.031488,-0.03262308116851179
0.031616,-0.030261100542516718
0.031744,-0.03334684225111355
0.031872,-0.019237222582871357
0.032,0.03824757517741227
0.032128000000000004,-0.013546423252810948
0.032256,-0.035517312616295
0.032384,-0.0378178596024974
0.032512,-0.03181663402817819
0.03264,-0.0392762450660124
0.032768,-0.0552030082122223
0.032896,-0.04730380375870595
0.033024000000000005,-0.0439915513790723
0.033152,-0.04742917017911842
0.033280000000000004,-0.04994328069376045
0.033408,-0.04063279400559385
0.033536,-0.04414897730248304
0.033664,-0.052836442188747654
0.033792,-0.050923227605924895
0.033920000000000006,-0.054022977763979234
0.034048,-0.05630506799712812
0.034176000000000005,-0.054842723250836146
0.034304,-0.054590185970198726
0.034432000000000004,-0.05402677203296389
0.03456,-0.057191479527703565
0.034688000000000004,-0.04242161225321299
0.03481600000000001,-0.04112240714077582
0.034944,-0.037308440979539684
0.035072000000000006,-0.04434382368094736
0.0352,-0.06380507854120084
0.035328000000000005,-0.06631048064873309
0.035456,-0.06519856557347825
0.035584000000000005,-0.0599248942806678
0.035712,-0.059096015731178925
0.035840000000000004,-0.058807140905938735
0.03596800000000001,-0.06095650156267559
0.036096,-0.05671395981149549
0.036224000000000006,-0.04799294748401338
0.036352,-0.05780968071414968
0.036480000000000005,-0.06174059471803262
0.036608,-0.06598797736046168
0.036736000000000005,-0.06206242813306402
0.03686400000000001,-0.05970136350093828
0.036992,-0.0605674077844172
0.03712,-0.06692974160801768
0.037247999999999996,-0.06942783060982673
0.037376,-0.06323861501351996
0.037503999999999996,-0.06044325966328969
0.037632,-0.05459424909091855
0.03776,-0.04757688113558214
0.037888,-0.0468212853425771
0.038016,-0.05189558397955022
0.038144,-0.06408454258866247
0.038272,-0.0572033996422202
0.0384,-0.0467483977866285
0.038528,-0.04753050478683784
0.038656,-0.04313624856309168
0.038784,-0.04171019204632438
0.038912,-0.05021668797528784
0.03904,-0.04753008307659173
0.039168,-0.04207907061304212
0.039296,-0.03938622297677737
0.039424,-0.021015115017987612
0.039552000000000004,-0.03590277842379067
0.03968,-0.04087960897654121
0.039808,-0.0365693619143509
0.039936,-0.007253209681980502
0.040064,0.003166201985477984
0.040192,-0.029632646017027513
0.04032,-0.0251921220121513
0.040448,0.031957678698108186
0.040576,0.056072759359662286
0.040704000000000004,0.012297087209021477
0.040832,-0.02624592315675946
0.04096,-0.038325915352261264
0.041088,-0.061592699129126016
0.041216,-0.07276012708116758
0.041344,-0.06958162127885319
0.041472,-0.07071597510201214
0.041600000000000005,-0.06636484324990555
0.041728,-0.07099199107455986
0.041856000000000004,-0.07178046841973657
0.041984,-0.06667000867900029
0.042112000000000004,-0.05868084297186286
0.04224,-0.06047742449248556
0.042368,-0.07139880734410531
0.042496000000000006,-0.05660787949563602
0.042624,-0.05898869832982314
0.042752000000000005,-0.0663775689965144
0.04288,-0.05546610123152315
0.043008000000000005,-0.05760388502147269
0.043136,-0.05813587950234654
0.043264000000000004,-0.06180376985545784
