1.000000000000E+5, 1.000000000003E+5, 7.770924736843E-5, -1.302861540669E+2, 1.103991952963E+0, 0.000000000000E+0, -6.313020020607E+1, -5.041384524538E+1, -6.715595386083E+1
1.003489224883E+5, 1.003489224880E+5, 7.904618031445E-5, -1.302972261748E+2, 1.103991952963E+0, 0.000000000000E+0, -6.355364268112E+1, -5.028199570339E+1, -6.674358349372E+1
1.006990624457E+5, 1.006990624454E+5, 7.934141060448E-5, -1.309129285895E+2, 1.103991952963E+0, 0.000000000000E+0, -6.394953175858E+1, -5.022398257485E+1, -6.696339683090E+1
1.010504241200E+5, 1.010504241198E+5, 7.968064138720E-5, -1.314679370465E+2, 1.103991952963E+0, 0.000000000000E+0, -6.418180528145E+1, -5.015650587628E+1, -6.728613176504E+1
1.014030117743E+5, 1.014030117742E+5, 7.977802608217E-5, -1.315407972822E+2, 1.103991952963E+0, 0.000000000000E+0, -6.437732506064E+1, -5.014244557121E+1, -6.716347222157E+1
1.017568296862E+5, 1.017568296859E+5, 8.052995711294E-5, -1.313664702152E+2, 1.103991952963E+0, 0.000000000000E+0, -6.477224757410E+1, -5.006576762559E+1, -6.659422264105E+1
1.021118821484E+5, 1.021118821485E+5, 8.243332766127E-5, -1.315611558352E+2, 1.103991952963E+0, 0.000000000000E+0, -6.529442084006E+1, -4.986031515204E+1, -6.626673499516E+1
1.024681734685E+5, 1.024681734684E+5, 8.336299419049E-5, -1.313326866083E+2, 1.103991952963E+0, 0.000000000000E+0, -6.547642334691E+1, -4.978792985834E+1, -6.585626326141E+1
1.028257079691E+5, 1.028257079690E+5, 8.405231143487E-5, -1.324053973614E+2, 1.103991952963E+0, 0.000000000000E+0, -6.600462550233E+1, -4.966736977528E+1, -6.640077185912E+1
1.031844899879E+5, 1.031844899879E+5, 8.407593389179E-5, -1.319982876812E+2, 1.103991952963E+0, 0.000000000000E+0, -6.598666174244E+1, -4.967544965979E+1, -6.601162593877E+1
1.035445238779E+5, 1.035445238777E+5, 8.508562145480E-5, -1.319639639358E+2, 1.103991952963E+0, 0.000000000000E+0, -6.623439243028E+1, -4.961249437244E+1, -6.572957150551E+1
1.039058140072E+5, 1.039058140075E+5, 8.625016310765E-5, -1.326164469013E+2, 1.103991952963E+0, 0.000000000000E+0, -6.677843273156E+1, -4.947859137388E+1, -6.583801416976E+1
1.042683647589E+5, 1.042683647588E+5, 8.690680233888E-5, -1.329408276769E+2, 1.103991952963E+0, 0.000000000000E+0, -6.720060418268E+1, -4.939978117815E+1, -6.574022349424E+1
1.046321805317E+5, 1.046321805321E+5, 8.816380890028E-5, -1.324544864537E+2, 1.103991952963E+0, 0.000000000000E+0, -6.752900842771E+1, -4.931673329148E+1, -6.492547802597E+1
1.049972657396E+5, 1.049972657395E+5, 8.889077518429E-5, -1.330167885178E+2, 1.103991952963E+0, 0.000000000000E+0, -6.793957059440E+1, -4.920784446727E+1, -6.507721792343E+1
1.053636248119E+5, 1.053636248119E+5, 8.984231023240E-5, -1.326806635678E+2, 1.103991952963E+0, 0.000000000000E+0, -6.826073758937E+1, -4.914350604315E+1, -6.441992597847E+1
1.057312621934E+5, 1.057312621931E+5, 9.067506567010E-5, -1.327174260193E+2, 1.103991952963E+0, 0.000000000000E+0, -6.846935500954E+1, -4.907360346904E+1, -6.424807100981E+1
1.061001823444E+5, 1.061001823443E+5, 9.254860571624E-5, -1.333307925946E+2, 1.103991952963E+0, 0.000000000000E+0, -6.920185471643E+1, -4.888955042038E+1, -6.412893787814E+1
1.064703897407E+5, 1.064703897407E+5, 9.243422302027E-5, -1.335276096760E+2, 1.103991952963E+0, 0.000000000000E+0, -6.933325246952E+1, -4.887509178275E+1, -6.419435720646E+1
1.068418888739E+5, 1.068418888742E+5, 9.362584573810E-5, -1.331659701109E+2, 1.103991952963E+0, 0.000000000000E+0, -6.971363964931E+1, -4.879321583524E+1, -6.345233046158E+1
1.072146842511E+5, 1.072146842512E+5, 9.454548549324E-5, -1.332308047311E+2, 1.103991952963E+0, 0.000000000000E+0, -7.000579928884E+1, -4.870157093642E+1, -6.322500544228E+1
1.075887803952E+5, 1.075887803950E+5, 9.645162172275E-5, -1.339061357429E+2, 1.103991952963E+0, 0.000000000000E+0, -7.068340761718E+1, -4.850585311380E+1, -6.322272812576E+1
1.079641818449E+5, 1.079641818448E+5, 9.619597364248E-5, -1.338601969989E+2, 1.103991952963E+0, 0.000000000000E+0, -7.053798945671E+1, -4.854515553170E+1, -6.332220754221E+1
1.083408931547E+5, 1.083408931545E+5, 9.800063009068E-5, -1.341115239477E+2, 1.103991952963E+0, 0.000000000000E+0, -7.126675810657E+1, -4.839052177136E+1, -6.284476584116E+1
1.087189188950E+5, 1.087189188946E+5, 9.861936435201E-5, -1.341205930093E+2, 1.103991952963E+0, 0.000000000000E+0, -7.141057810592E+1, -4.835183397588E+1, -6.271001490340E+1
1.090982636520E+5, 1.090982636519E+5, 1.005677311480E-4, -1.344995634435E+2, 1.103991952963E+0, 0.000000000000E+0, -7.210764515511E+1, -4.816245300437E+1, -6.239191828840E+1
1.094789320283E+5, 1.094789320282E+5, 1.001997865894E-4, -1.344250649614E+2, 1.103991952963E+0, 0.000000000000E+0, -7.209610381153E+1, -4.820439654662E+1, -6.232896114982E+1
1.098609286421E+5, 1.098609286424E+5, 1.025630174724E-4, -1.346944416202E+2, 1.103991952963E+0, 0.000000000000E+0, -7.289904471894E+1, -4.800685970115E+1, -6.179539690123E+1
