Frequency (kHz),Shotnoise calibrated squeezing (dB),Correlation calibrated squeezing (dB)
34.176,-0.06001550473292831,-0.47683628967976865
34.304,-0.2108477252887629,-0.47463619186709005
34.432,-0.24499634955207994,-0.46972796407584183
34.56,-0.19675639026865427,-0.49730155529134
34.688,-0.16585569931594116,-0.368690712966913
34.816,-0.21119652707249148,-0.35738623394743696
34.944,-0.22272999124782225,-0.32420748039164393
35.072,-0.17820735512438307,-0.38541831683644384
35.2,-0.2792286263723382,-0.5549577838818524
35.328,-0.383259258901852,-0.576811939748488
35.456,-0.362942198752301,-0.5671120280068833
35.584,-0.3160914116450022,-0.5211254026401011
35.712,-0.32327643009579354,-0.5139002668394074
35.84,-0.4538385957573978,-0.5113823815925428
35.968,-0.4848574888272632,-0.5301186836072431
36.096000000000004,-0.48194146707724145,-0.4931403743988236
36.224000000000004,-0.5189185088178145,-0.4171819438147123
36.352000000000004,-0.5207165051145959,-0.5026889953278268
36.480000000000004,-0.42806425062353165,-0.5369549598888388
36.608000000000004,-0.43637000449262003,-0.5739984004924404
36.736000000000004,-0.47475063626936187,-0.5397611220824393
36.864000000000004,-0.4643979781362695,-0.5191768678501242
36.992,-0.47975522823460987,-0.5267265340796032
37.12,-0.3884298421202933,-0.5822147512435363
37.248,-0.4024073103621895,-0.6040142196585166
37.376,-0.3333391178739109,-0.550017610338345
37.504,-0.3308117927452734,-0.5256442350156322
37.632,-0.42535353308687485,-0.4746715891802229
37.76,-0.401615309148046,-0.41355976650484044
37.888,-0.29757625677790966,-0.40698209108089556
38.016,-0.4091323016322297,-0.45116462468295526
38.144,-0.3772181266705244,-0.5573951439883392
38.272,-0.34911975255434347,-0.49740543192781433
38.4,-0.3453887090398044,-0.4063476090457984
38.528,-0.3633146740337715,-0.4131560336750233
38.656,-0.3390829899206171,-0.37490934567972223
38.784,-0.23650904917280502,-0.36250044136668025
38.912,-0.08139971912924995,-0.43654380328649744
39.04,0.04486794488688391,-0.41315236245260206
39.168,0.25146278014564605,-0.365710113412108
39.296,0.29199177687335187,-0.342281450147799
39.424,0.32796792706279054,-0.1825618481808392
39.552,-0.009372314836884027,-0.31198166630798724
39.68,0.06665162944409875,-0.35527376464260085
39.808,0.4238441968441977,-0.3177791495588544
39.936,0.8451014315061725,-0.06300168365451675
40.064,0.7421890008378013,0.027501372916837984
40.192,0.8406648725601447,-0.2574612690152875
40.32,0.46948956442290646,-0.21886229919406736
40.448,-0.07509782294115795,0.2776754253626855
40.576,-0.05914803720460542,0.4875532094810953
40.704,0.3837389364131495,0.1068165267908042
40.832,0.534041198470729,-0.22802155904487473
40.96,0.12310975560338974,-0.33305780846959787
41.088,-0.31956378902211413,-0.5356654514122138
41.216,-0.40201646764921894,-0.6331052428406841
41.344,-0.522411548876278,-0.6053565129336238
41.472,-0.5746614911859453,-0.6152581104494783
41.6,-0.5893341968171183,-0.5772862144365208
41.728,-0.6194197727481164,-0.6176676513275292
41.856,-0.5851942038541224,-0.624551358221422
41.984,-0.543157586658853,-0.5799486277245409
42.112,-0.5062656264540983,-0.5102815729413731
42.24,-0.5215960967135016,-0.5259420756941512
42.368,-0.3606300473687475,-0.6212192147084753
42.496,-0.27939688136885377,-0.49221600483026395
42.624,-0.5152111190755202,-0.5129648589020787
42.752,-0.5296186482300744,-0.5773972379408762
42.88,-0.4927390976334156,-0.4822674036995988
43.008,-0.4934500959322436,-0.5008955041907976
43.136,-0.45252610323700365,-0.5055318765056935
43.264,-0.47717227362079845,-0.5375057940348843
43.392,-0.5838160730856036,-0.5805419735388984
43.52,-0.6396472381900459,-0.6090731422360204
43.648,-0.595888286081404,-0.5972821134628783
43.776,-0.561478008114124,-0.5850653872384532
43.904,-0.7096468382715784,-0.5506267877933804
44.032000000000004,-0.7011604566399389,-0.5485886560121436
44.160000000000004,-0.6749692152974622,-0.5573382066903498
44.288000000000004,-0.7219224779828421,-0.6743747016422232
44.416000000000004,-0.7557436503091495,-0.6312238185547852
44.544000000000004,-0.6456965244837762,-0.5598393061084224
44.672000000000004,-0.6542047028491451,-0.6257030035981904
44.800000000000004,-0.5526993754794616,-0.6150078481445149
44.928000000000004,-0.5404622475958696,-0.5803823936923518
45.056,-0.5900731529707504,-0.5695435631769651
45.184,-0.6175175198620116,-0.6095888204495471
45.312,-0.5994048919019404,-0.611069735601567
45.44,-0.6648204135472824,-0.5252562469339909
45.568,-0.6457242758069521,-0.4989824006160079
45.696,-0.5339925124359741,-0.6898682721583602
45.824,-0.538917246825849,-0.6459851797179399
45.952,-0.5292545377295673,-0.5990687811779318
46.08,-0.5826387120149349,-0.5887302330416933
46.208,-0.5550624507591663,-0.6346300827921957
46.336,-0.5739448224649208,-0.66391078543241
46.464,-0.615980801607076,-0.6453955258581328
46.592,-0.5277797379181937,-0.5765262957097197
46.72,-0.5855214581506233,-0.5670282557804479
46.848,-0.5658671198338506,-0.5180866769010998
46.976,-0.4884866303019278,-0.5951031143064743
47.104,-0.5672049385641109,-0.6933279392636447
47.232,-0.6008643429029236,-0.5651883161626154
47.36,-0.56205617591788,-0.579932826728893
47.488,-0.4684781880148969,-0.5511734807522419
47.616,-0.46183739359082215,-0.5599279180494542
47.744,-0.49081659530683197,-0.6109855512857141
47.872,-0.48883156033386915,-0.49170476755233805
48.0,-0.47481743502045004,-0.4185304708227061
48.128,-0.5651883473474859,-0.4478943341927661
48.256,-0.4989033559493947,-0.5167990565872349
48.384,-0.5533015071929257,-0.5003955448457902
48.512,-0.6107266716602765,-0.453851066210424
48.64,-0.5903675707735543,-0.46673018513754294
48.768,-0.6211280122531424,-0.5646115567250597
48.896,-0.5974478239017984,-0.5618511998435398
49.024,-0.6143839335275304,-0.5686503603560055
49.152,-0.5847418705253316,-0.5995303924565372
49.28,-0.5871479074629591,-0.6868415534025958
49.408,-0.6187194876668605,-0.6300501958375225
49.536,-0.6759903228963511,-0.5794451195376139
49.664,-0.5882259271718735,-0.6241330028911865
49.792,-0.5150971083276755,-0.5563064536516228
49.92,-0.5757887830693844,-0.5322354088552175
50.048,-0.5986576799788186,-0.5982737429072736
50.176,-0.5720674599524616,-0.6233154694634645
50.304,-0.5946896956304574,-0.612875225238993
50.432,-0.6280611311414612,-0.679704135469063
50.56,-0.6241245613176359,-0.5634200029621135
50.688,-0.5562720946219166,-0.5193199377078512
50.816,-0.5120960342544799,-0.5542819921831956
50.944,-0.5916597454240188,-0.5663527637493325
51.072,-0.6139423523518013,-0.653207475453327
51.2,-0.5906582849375998,-0.6416922432961045
51.328,-0.5038349442023777,-0.6315776401175405
51.456,-0.41899680293360436,-0.4885259815012237
51.584,-0.4289802848305605,-0.5143473141010007
51.712,-0.5434023587569172,-0.5904058080136038
51.84,-0.5219016748415094,-0.544311892791882
51.968,-0.5588604510859567,-0.4910838273294887
52.096000000000004,-0.4838957042915892,-0.4030317166498759
52.224000000000004,-0.472420001881122,-0.4476078594350309
52.352000000000004,-0.5389373012824071,-0.4502981216831426
52.480000000000004,-0.49122569614101574,-0.47736189524384864
52.608000000000004,-0.5270780907417437,-0.4799048300381175
52.736000000000004,-0.5315162551904206,-0.4913370645643395
52.864000000000004,-0.5815793586885635,-0.5404356610068088
52.992000000000004,-0.593609638597101,-0.4984405168776026
53.120000000000005,-0.53106194577363,-0.4699096754430443
53.248000000000005,-0.415083695994583,-0.4597719903353631
53.376,-0.41102671427871024,-0.48770779898776767
53.504,-0.3666403796510299,-0.38797128684867255
53.632,-0.3315637093629095,-0.32604192482941774
53.76,-0.37847281916276904,-0.3603429387882084
53.888,-0.41521375988320963,-0.5385666833517052
54.016,-0.4493469095514362,-0.567323008647007
54.144,-0.491221270194799,-0.3534101300120491
54.272,-0.42902193016431506,-0.3441012043967414
54.4,-0.37384728323149147,-0.3916875824241183
54.528,-0.4282402770169888,-0.4041666869216659
54.656,-0.4036546584403888,-0.5363011370517653
54.784,-0.5151704843806172,-0.4616895720175312
54.912,-0.4924838959702677,-0.44625044942308517
55.04,-0.4493435699911994,-0.4651515414016347
55.168,-0.41016887716639855,-0.4480580875848704
55.296,-0.3820186197407368,-0.4163729250510704
55.424,-0.3887682641991447,-0.38062834064867596
55.552,-0.34639548872219916,-0.4189764150447338
55.68,-0.38683414872255717,-0.4310847368831848
55.808,-0.3631812796857884,-0.39241755657008165
55.936,-0.3099092407057597,-0.37370060246243847
56.064,-0.35454337984725204,-0.5304278054352716
56.192,-0.4139654901116584,-0.5372901441742021
56.32,-0.4296608124084398,-0.5109956427638164
56.448,-0.3109332077277961,-0.43481248122236216
56.576,-0.3784840099031124,-0.356257611814399
56.704,-0.3794977161441728,-0.3743769322925205
56.832,-0.2145319796417045,-0.33610358630038467
56.96,-0.2500588215465754,-0.3274436779339498
57.088,-0.26292097146971727,-0.2898791098759384
57.216,-0.32494736981732447,-0.41240776604711876
57.344,-0.3917413758941838,-0.38688704171600163
57.472,-0.3626081154646454,-0.36306732576480716
57.6,-0.4112816175818088,-0.389161495924508
57.728,-0.4170240210245379,-0.3014816229132534
57.856,-0.3223240098855224,-0.3094204501663251
57.984,-0.36632864378580293,-0.3169800242692069
58.112,-0.34705552905160253,-0.3296665050689007
58.24,-0.35871122032261477,-0.3378954014703537
58.368,-0.36182277326220125,-0.2037203212668416
58.496,-0.3805984188304131,-0.17811756085695238
58.624,-0.15304480662381795,-0.06298632061955453
58.752,0.6475029592462905,0.3984246135193489
